test_id,excTimeJava,excTimeCpp,,avgJava,avgCpp
1,1242,1002,,1254,1002
2,1241,1000,,,
3,1238,1001,,,
4,1239,1002,,,
5,1239,999,,,
6,1237,1000,,,
7,1239,999,,,
8,1240,999,,,
9,1246,999,,,
10,1238,1004,,,
11,1241,1003,,,
12,1239,1010,,,
13,1240,1013,,,
14,1241,1005,,,
15,1240,1003,,,
16,1242,1005,,,
17,1455,1003,,,
18,1244,1001,,,
19,1243,1002,,,
20,1243,1002,,,
21,1243,1000,,,
22,1242,999,,,
23,1244,1000,,,
24,1244,1000,,,
25,1245,1000,,,
26,1248,1001,,,
27,1241,999,,,
28,1243,1001,,,
29,1244,999,,,
30,1246,1004,,,
31,1251,1002,,,
32,1246,1003,,,
33,1246,1002,,,
34,1248,1003,,,
35,1249,1004,,,
36,1250,1003,,,
37,1254,1003,,,
38,1255,1000,,,
39,1255,1001,,,
40,1252,1002,,,
41,1256,1000,,,
42,1248,1000,,,
43,1251,999,,,
44,1251,999,,,
45,1253,1002,,,
46,1256,1003,,,
47,1250,1000,,,
48,1250,1000,,,
49,1251,1002,,,
50,1252,1000,,,
51,1253,1004,,,
52,1255,1003,,,
53,1252,1004,,,
54,1252,1003,,,
55,1255,1002,,,
56,1252,1003,,,
57,1247,1003,,,
58,1256,1004,,,
59,1246,1001,,,
60,1246,1003,,,
61,1249,1003,,,
62,1248,999,,,
63,1249,1003,,,
64,1252,1002,,,
65,1255,1002,,,
66,1254,1001,,,
67,1255,1000,,,
68,1254,1000,,,
69,1250,1001,,,
70,1254,999,,,
71,1258,1004,,,
72,1249,1003,,,
73,1250,1007,,,
74,1249,1002,,,
75,1249,1002,,,
76,1249,1004,,,
77,1252,1001,,,
78,1256,1003,,,
79,1253,1002,,,
80,1246,1002,,,
81,1247,1002,,,
82,1246,1002,,,
83,1246,1001,,,
84,1256,999,,,
85,1261,999,,,
86,1255,999,,,
87,1254,999,,,
88,1252,1001,,,
89,1254,1087,,,
90,1255,1003,,,
91,1261,1007,,,
92,1247,1003,,,
93,1243,1004,,,
94,1244,1004,,,
95,1244,1005,,,
96,1246,1005,,,
97,1254,1002,,,
98,1244,1003,,,
99,1243,1004,,,
100,1245,1001,,,
101,1257,1001,,,
102,1259,1000,,,
103,1257,999,,,
104,1246,999,,,
105,1246,1003,,,
106,1257,999,,,
107,1243,999,,,
108,1245,999,,,
109,1245,1000,,,
110,1249,1000,,,
111,1249,1002,,,
112,1252,1002,,,
113,1255,1003,,,
114,1256,1002,,,
115,1246,1002,,,
116,1254,1006,,,
117,1246,1004,,,
118,1245,1006,,,
119,1248,1004,,,
120,1247,1003,,,
121,1250,1000,,,
122,1250,999,,,
123,1252,999,,,
124,1254,999,,,
125,1253,999,,,
126,1253,999,,,
127,1257,999,,,
128,1247,999,,,
129,1250,1000,,,
130,1253,999,,,
131,1257,1004,,,
132,1247,1004,,,
133,1258,1003,,,
134,1243,1002,,,
135,1246,1001,,,
136,1246,1004,,,
137,1247,1004,,,
138,1252,1003,,,
139,1250,1002,,,
140,1250,1003,,,
141,1259,1002,,,
142,1255,1000,,,
143,1242,999,,,
144,1245,998,,,
145,1242,999,,,
146,1243,999,,,
147,1245,1000,,,
148,1247,1000,,,
149,1244,999,,,
150,1247,999,,,
151,1250,1003,,,
152,1250,1004,,,
153,1255,1001,,,
154,1252,1000,,,
155,1254,1002,,,
156,1248,1004,,,
157,1256,1005,,,
158,1245,1002,,,
159,1244,1001,,,
160,1247,1003,,,
161,1246,1002,,,
162,1248,1001,,,
163,1276,1000,,,
164,1244,999,,,
165,1244,1000,,,
166,1246,1000,,,
167,1246,1001,,,
168,1247,1001,,,
169,1250,1001,,,
170,1249,1001,,,
171,1253,1002,,,
172,1253,1003,,,
173,1255,1001,,,
174,1257,1002,,,
175,1248,1001,,,
176,1250,1003,,,
177,1251,1003,,,
178,1255,1003,,,
179,1258,1001,,,
180,1256,1065,,,
181,1255,1036,,,
182,1255,1002,,,
183,1252,1002,,,
184,1256,1005,,,
185,1258,1002,,,
186,1247,1002,,,
187,1248,1002,,,
188,1251,1002,,,
189,1252,1003,,,
190,1255,1002,,,
191,1250,1005,,,
192,1252,1000,,,
193,1253,1000,,,
194,1253,1001,,,
195,1256,999,,,
196,1249,999,,,
197,1252,999,,,
198,1256,1000,,,
199,1252,1001,,,
200,1251,999,,,
201,1253,1000,,,
202,1254,1000,,,
203,1254,999,,,
204,1256,999,,,
205,1257,1001,,,
206,1252,1000,,,
207,1255,1000,,,
208,1254,1000,,,
209,1254,1000,,,
210,1254,1000,,,
211,1254,1003,,,
212,1254,1003,,,
213,1255,1003,,,
214,1252,1001,,,
215,1251,1001,,,
216,1255,1003,,,
217,1256,1001,,,
218,1255,1005,,,
219,1253,1003,,,
220,1255,1003,,,
221,1254,1000,,,
222,1253,999,,,
223,1263,999,,,
224,1247,999,,,
225,1247,1000,,,
226,1250,999,,,
227,1252,1000,,,
228,1256,1001,,,
229,1255,1003,,,
230,1249,1003,,,
231,1253,1004,,,
232,1254,1004,,,
233,1255,1002,,,
234,1256,1001,,,
235,1247,1001,,,
236,1250,1002,,,
237,1252,1002,,,
238,1260,1003,,,
239,1255,1001,,,
240,1255,1003,,,
241,1256,1002,,,
242,1253,1001,,,
243,1896,1000,,,
244,1359,999,,,
245,1251,1001,,,
246,1256,1001,,,
247,1255,1001,,,
248,1259,1000,,,
249,1259,1001,,,
250,1259,1000,,,
251,1255,1003,,,
252,1256,1002,,,
253,1252,1002,,,
254,1252,1001,,,
255,1251,1000,,,
256,1252,1003,,,
257,1253,1002,,,
258,1251,1002,,,
259,1254,1001,,,
260,1254,1002,,,
261,1253,1001,,,
262,1254,1001,,,
263,1255,999,,,
264,1256,1059,,,
265,1252,1037,,,
266,1253,1003,,,
267,1265,1005,,,
268,1250,1003,,,
269,1251,1000,,,
270,1252,1001,,,
271,1250,1003,,,
272,1253,1002,,,
273,1254,1001,,,
274,1258,1001,,,
275,1259,1000,,,
276,1258,1000,,,
277,1252,1000,,,
278,1258,999,,,
279,1252,1002,,,
280,1253,1000,,,
281,1255,1000,,,
282,1253,999,,,
283,1251,1002,,,
284,1256,1001,,,
285,1252,999,,,
286,1253,999,,,
287,1256,998,,,
288,1252,999,,,
289,1254,1000,,,
290,1256,999,,,
291,1254,1003,,,
292,1252,1002,,,
293,1255,1002,,,
294,1252,1004,,,
295,1252,1002,,,
296,1255,1004,,,
297,1254,1001,,,
298,1255,1004,,,
299,1256,1001,,,
300,1251,1003,,,
301,1255,1002,,,
302,1250,1001,,,
303,1253,1001,,,
304,1248,1000,,,
305,1256,999,,,
306,1252,999,,,
307,1255,1001,,,
308,1256,999,,,
309,1257,1000,,,
310,1249,999,,,
311,1255,1000,,,
312,1249,1004,,,
313,1254,1004,,,
314,1252,1002,,,
315,1258,1001,,,
316,1248,1000,,,
317,1251,1005,,,
318,1254,1004,,,
319,1254,1002,,,
320,1253,1002,,,
321,1254,1004,,,
322,1255,1001,,,
323,1256,1000,,,
324,1253,999,,,
325,1255,999,,,
326,1256,1000,,,
327,1252,1000,,,
328,1259,1002,,,
329,1255,1000,,,
330,1256,1000,,,
331,1257,1000,,,
332,1250,1004,,,
333,1254,1002,,,
334,1256,1002,,,
335,1252,1001,,,
336,1250,1002,,,
337,1257,1002,,,
338,1256,1002,,,
339,1256,1001,,,
340,1445,1002,,,
341,1250,1003,,,
342,1264,1001,,,
343,1250,1001,,,
344,1253,1002,,,
345,1258,1001,,,
346,1258,1000,,,
347,1257,1001,,,
348,1258,1000,,,
349,1257,1002,,,
350,1250,999,,,
351,1252,1000,,,
352,1253,1003,,,
353,1248,1002,,,
354,1253,1005,,,
355,1253,1003,,,
356,1253,1001,,,
357,1248,1003,,,
358,1250,1003,,,
359,1253,1005,,,
360,1257,1004,,,
361,1248,1003,,,
362,1252,1002,,,
363,1251,1000,,,
364,1255,1002,,,
365,1257,1002,,,
366,1248,1002,,,
367,1251,1000,,,
368,1252,1000,,,
369,1255,1000,,,
370,1257,1000,,,
371,1249,1002,,,
372,1250,1004,,,
373,1253,1006,,,
374,1255,1004,,,
375,1255,1001,,,
376,1258,1001,,,
377,1253,1003,,,
378,1255,1005,,,
379,1253,1003,,,
380,1253,1001,,,
381,1255,1063,,,
382,1251,1032,,,
383,1251,1003,,,
384,1255,1004,,,
385,1253,1006,,,
386,1254,1002,,,
387,1254,1003,,,
388,1256,1005,,,
389,1255,1004,,,
390,1253,1004,,,
391,1253,1006,,,
392,1254,1009,,,
393,1251,1005,,,
394,1256,999,,,
395,1250,1002,,,
396,1254,1001,,,
397,1254,1001,,,
398,1259,999,,,
399,1253,999,,,
400,1253,1000,,,
401,1254,1001,,,
402,1255,999,,,
403,1259,999,,,
404,1252,999,,,
405,1254,1002,,,
406,1255,1002,,,
407,1253,1001,,,
408,1255,1002,,,
409,1250,1001,,,
410,1254,1000,,,
411,1253,1000,,,
412,1257,1003,,,
413,1254,1001,,,
414,1254,1001,,,
415,1256,1002,,,
416,1256,1001,,,
417,1260,1002,,,
418,1253,1002,,,
419,1251,1003,,,
420,1253,1001,,,
421,1253,1002,,,
422,1252,1001,,,
423,1254,1000,,,
424,1253,1000,,,
425,1254,1001,,,
426,1257,1001,,,
427,1249,1002,,,
428,1507,1003,,,
429,1259,1003,,,
430,1256,1001,,,
431,1258,1001,,,
432,1258,1003,,,
433,1255,1002,,,
434,1265,1004,,,
435,1258,1002,,,
436,1249,1001,,,
437,1251,1002,,,
438,1252,1002,,,
439,1254,1003,,,
440,1255,1000,,,
441,1256,1002,,,
442,1255,1001,,,
443,1255,1000,,,
444,1253,999,,,
445,1256,999,,,
446,1255,1000,,,
447,1256,999,,,
448,1253,1001,,,
449,1252,1002,,,
450,1254,1001,,,
451,1251,1002,,,
452,1254,1005,,,
453,1253,1004,,,
454,1256,1003,,,
455,1258,1001,,,
456,1250,1002,,,
457,1252,1004,,,
458,1257,1003,,,
459,1248,1005,,,
460,1251,1001,,,
461,1253,1002,,,
462,1256,1001,,,
463,1255,1000,,,
464,1256,999,,,
465,1252,999,,,
466,1252,1001,,,
467,1256,1002,,,
468,1256,1001,,,
469,1254,1000,,,
470,1253,1002,,,
471,1257,1001,,,
472,1249,1007,,,
473,1249,1004,,,
474,1253,1004,,,
475,1256,1001,,,
476,1249,1002,,,
477,1253,1063,,,
478,1256,1019,,,
479,1248,1000,,,
480,1253,1001,,,
481,1253,1004,,,
482,1252,1004,,,
483,1254,1001,,,
484,1251,1003,,,
485,1252,1003,,,
486,1254,1002,,,
487,1252,1001,,,
488,1256,1002,,,
489,1246,999,,,
490,1250,1001,,,
491,1248,1002,,,
492,1256,1005,,,
493,1255,1006,,,
494,1257,1003,,,
495,1254,1002,,,
496,1249,1000,,,
497,1251,1002,,,
498,1252,1002,,,
499,1258,1004,,,
500,1253,1001,,,
